;2018;;;2019;;2020;;;Total general
;SEXO;;;;;;;;
MUNICIPIO  EDAD;Hombre;Mujer;Indete.;Hombre;Mujer;Hombre;Mujer;Indete.;
AGUADAS;;;;;;;;;
10;;;;;;1;;;1
15;;1;;;;;;;1
20;;;;;;2;;;2
21;;;;;1;;;;1
24;;;;1;;;;;1
26;;1;;;;;;;1
28;;;;1;;;;;1
29;1;;;2;;;1;;4
32;2;;;;;1;;;3
33;1;;;;;;;;1
35;;;;1;;1;;;2
36;;;;1;;;;;1
38;1;;;;;1;;;2
42;;;;;;1;;;1
44;;;;;;;2;;2
45;1;;;;;1;;;2
46;;;;;;1;;;1
49;1;;;;;;;;1
50;;;;1;;;;;1
51;;;;2;;1;;;3
52;;;;;;;1;;1
53;1;;;;;1;;;2
54;2;;;1;;;1;;4
55;2;;;;;;;;2
56;1;1;;1;;;;;3
57;;1;;;;;;;1
59;;;;;;1;1;;2
60;;1;;2;;;;;3
61;1;;;1;1;;;;3
62;1;1;;;;2;;;4
63;2;1;;;;4;1;;8
64;;;;;;2;;;2
65;1;;;1;1;1;;;4
66;1;;;;1;1;;;3
67;;;;;;1;1;;2
68;;;;1;;1;1;;3
69;;;;2;2;2;1;;7
70;;3;;1;2;1;;;7
71;1;1;;;;1;3;;6
72;1;2;;2;;1;1;;7
73;;;;1;2;;;;3
74;3;1;;1;1;1;2;;9
75;;2;;;2;4;1;;9
76;1;2;;;;2;1;;6
77;1;2;;2;1;;1;;7
78;;;;1;;1;1;;3
79;1;;;3;2;2;1;;9
80;3;;;2;;1;1;;7
81;;3;;2;3;;;;8
82;3;1;;2;2;3;1;;12
83;1;1;;2;2;1;2;;9
84;2;;;;3;2;1;;8
85;1;2;;3;2;3;2;;13
86;1;4;;2;1;;2;;10
87;1;1;;2;;5;3;;12
88;;5;;1;1;2;2;;11
89;3;3;;;2;4;1;;13
90;;1;;;;4;4;;9
91;;;;1;2;1;;;4
92;1;2;;2;2;;;;7
93;1;;;3;3;1;;;8
95;;1;;;;;2;;3
96;1;;;;;;;;1
97;;1;;;;;1;;2
98;;;;;1;;;;1
99;1;;;;;;;;1
ANSERMA;;;;;;;;;
< 1año;;;;;1;;;;1
1;;1;;1;;;;;2
2;;;;;1;;;;1
7;;;;;1;;;;1
13;1;;;;;;;;1
14;1;;;;;;;;1
17;2;;;;1;;;;3
19;1;;;1;;;;;2
20;;;;1;;;;;1
21;3;;;2;;;;;5
22;1;;;1;;;;;2
23;2;;;;;1;;;3
24;1;;;;;1;;;2
25;3;;;;;;;;3
26;;;;1;;;;;1
27;;;;1;;;;;1
30;1;;;;;;;;1
31;1;;;;1;1;;;3
33;1;;;1;;;1;;3
35;1;;;1;;;;;2
36;;;;;1;;;;1
37;;;;;;1;1;;2
38;;;;2;1;;;;3
39;;1;;;;;;;1
40;;;;1;;1;;;2
41;;1;;;1;;;;2
42;;;;1;;;;;1
45;;;;;;1;;;1
46;;;;2;;2;;;4
47;1;;;;;;;;1
48;1;1;;1;;;;;3
50;1;;;;;;;;1
51;1;;;;;;;;1
52;;;;;;1;;;1
53;2;;;;1;;2;;5
54;1;;;;;;;;1
55;;;;1;;;;;1
56;;;;;1;;;;1
57;1;;;1;1;1;;;4
58;;;;;;2;;;2
59;;;;3;1;3;1;;8
60;2;1;;1;;;;;4
