;AÑOS;;;;;;
;2018;;2019;;2020;;Total general
;FEMENINO;MASCULINO;FEMENINO;MASCULINO;FEMENINO;MASCULINO;
17 - Caldas;5.253;3.325;6.457;4.317;5.582;3.752;28.686
17001 - Manizales;3.309;2.034;3.847;2.527;3.373;2.293;17.383
C000 - TUMOR MALIGNO DEL LABIO SUPERIOR, CARA EXTERNA;;2;1;;;;3
C001 - TUMOR MALIGNO DEL LABIO INFERIOR, CARA EXTERNA;;1;1;1;;2;5
C002 - TUMOR MALIGNO DEL LABIO, CARA EXTERNA, SIN OTRA ESPECIFICACIÓN;;;;;;;
C004 - TUMOR MALIGNO DEL LABIO INFERIOR, CARA INTERNA;;;;;;;
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;6;16;9;7;4;6;48
C009 - TUMOR MALIGNO DEL LABIO, PARTE NO ESPECIFICADA;;1;2;1;;2;6
C01X - TUMOR MALIGNO DE LA BASE DE LA LENGUA;;5;2;7;4;4;22
C020 - TUMOR MALIGNO DE LA CARA DORSAL DE LA LENGUA;;1;;1;2;;4
C021 - TUMOR MALIGNO DEL BORDE DE LA LENGUA;2;2;1;2;2;2;11
C022 - TUMOR MALIGNO DE LA CARA VENTRAL DE LA LENGUA;1;3;2;;2;;8
C023 - TUMOR MALIGNO DE LOS DOS TERCIOS ANTERIORES DE LA LENGUA, PARTE NO ESPECIFICADA;1;;;;2;;3
C024 - TUMOR MALIGNO DE LA AMIGDALA LINGUAL;3;6;2;3;3;3;20
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;10;7;17;16;12;5;67
C029 - TUMOR MALIGNO DE LA LENGUA, PARTE NO ESPECIFICADA;2;6;3;6;6;5;28
C030 - TUMOR MALIGNO DE LA ENCIA SUPERIOR;;;;1;;;1
C031 - TUMOR MALIGNO DE LA ENCIA INFERIOR;;;1;;;;1
C039 - TUMOR MALIGNO DE LA ENCIA, PARTE NO ESPECIFICADA;;;2;1;;;3
C040 - TUMOR MALIGNO DE LA PARTE ANTERIOR DEL PISO DE LA BOCA;3;1;;1;;;5
C041 - TUMOR MALIGNO DE LA PARTE LATERAL DEL PISO DE LA BOCA;;1;1;1;1;;4
C048 - LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA;8;7;12;12;4;2;45
C049 - TUMOR MALIGNO DEL PISO DE LA BOCA, PARTE NO ESPECIFICADA;;1;;;1;;2
C050 - TUMOR MALIGNO DEL PALADAR DURO;2;1;5;;1;;9
C051 - TUMOR MALIGNO DEL PALADAR BLANDO;1;;;;1;1;3
C052 - TUMOR MALIGNO DE LA UVULA;;;1;;;;1
C058 - LESION DE SITIOS CONTIGUOS DEL PALADAR;6;6;14;7;8;11;52
C059 - TUMOR MALIGNO DEL PALADAR, PARTE NO ESPECIFICADA;3;;2;;1;1;7
C060 - TUMOR MALIGNO DE LA MUCOSA DE LA MEJILLA;;;;;;;
C061 - TUMOR MALIGNO DEL VESTIBULO DE LA BOCA;;;1;;;;1
C062 - TUMOR MALIGNO DEL AREA RETROMOLAR;1;;2;;;;3
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;26;18;42;29;24;17;156
C069 - TUMOR MALIGNO DE LA BOCA, PARTE NO ESPECIFICADA;2;1;1;3;1;1;9
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;5;4;7;8;6;3;33
C080 - TUMOR MALIGNO DE LA GLANDULA SUBMAXILAR;5;;4;6;3;1;19
C081 - TUMOR MALIGNO DE LA GLANDULA SUBLINGUAL;;;;;;;
C088 - LESION DE SITIOS CONTIGUOS DE LAS GLANDULAS SALIVALES MAYORES;2;;3;1;1;1;8
C089 - TUMOR MALIGNO DE GLANDULA SALIVAL MAYOR, NO ESPECIFICADA;;2;;1;1;;4
C090 - TUMOR MALIGNO DE LA FOSA AMIGDALINA;1;1;2;3;1;3;11
C091 - TUMOR MALIGNO DEL PILAR AMIGDALINO (ANTERIOR) (POSTERIOR);;;;;;;
C098 - LESION DE SITIOS CONTIGUOS DE LA AMIGDALA;7;4;9;7;2;3;32
C099 - TUMOR MALIGNO DE LA AMIGDALA, PARTE NO ESPECIFICADA;10;15;5;14;6;17;67
C101 - TUMOR MALIGNO DE LA CARA ANTERIOR DE LA EPIGLOTIS;;;;1;;;1
C102 - TUMOR MALIGNO DE LA PARED LATERAL DE LA OROFARINGE;1;;;;;2;3
C103 - TUMOR MALIGNO DE LA PARED POSTERIOR DE LA OROFARINGE;;;1;;;;1
C104 - TUMOR MALIGNO DE LA HENDIDURA BRANQUIAL;;;;;1;;1
C108 - LESION DE SITIOS CONTIGUOS DE LA OROFARINGE;15;5;14;5;5;7;51
C109 - TUMOR MALIGNO DE LA OROFARINGE, PARTE NO ESPECIFICADA;2;1;3;;;1;7
C110 - TUMOR MALIGNO DE LA PARED SUPERIOR DE LA NASOFARINGE;;1;;1;2;;4
C111 - TUMOR MALIGNO DE LA PARED POSTERIOR DE LA NASOFARINGE;;1;;1;;1;3
C113 - TUMOR MALIGNO DE LA PARED ANTERIOR DE LA NASOFARINGE;;;;1;;;1
C118 - LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE;2;1;1;;1;;5
C119 - TUMOR MALIGNO DE LA NASOFARINGE, PARTE NO ESPECIFICADA;;2;2;3;1;6;14
C12X - TUMOR MALIGNO DEL SENO PIRIFORME;;1;;1;;1;3
C131 - TUMOR MALIGNO DEL PLIEGUE ARITENOEPIGLOTICO, CARA HIPOFARINGEA;;;;;;;
C138 - LESION DE SITIOS CONTIGUOS DE LA HIPOFARINGE;1;1;;;1;1;4
C139 - TUMOR MALIGNO DE LA HIPOFARINGE, PARTE NO ESPECIFICADA;;2;;4;;3;9
C140 - TUMOR MALIGNO DE LA FARINGE, PARTE NO ESPECIFICADA;;1;;;;1;2
C142 - TUMOR MALIGNO DEL ANILLO DE WALDEYER;;;1;;;;1
C148 - LESION DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA LARINGE;3;3;9;7;2;5;29
C150 - TUMOR MALIGNO DEL ESOFAGO, PORCION CERVICAL;5;1;5;2;1;2;16
C151 - TUMOR MALIGNO DEL ESOFAGO, PORCION TORACICA;3;4;2;3;3;3;18
C152 - TUMOR MALIGNO DEL ESOFAGO, PORCION ABDOMINAL;1;5;2;7;2;15;32
C153 - TUMOR MALIGNO DEL TERCIO SUPERIOR DEL ESOFAGO;1;1;;1;;1;4
C154 - TUMOR MALIGNO DEL TERCIO MEDIO DEL ESOFAGO;;1;1;3;2;2;9
C155 - TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO;3;8;6;18;6;14;55
C158 - LESION DE SITIOS CONTIGUOS DEL ESOFAGO;21;9;14;7;10;9;70
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;9;12;9;9;5;13;57
C160 - TUMOR MALIGNO DEL CARDIAS;2;2;;8;2;8;22
C161 - TUMOR MALIGNO DEL FUNDUS GASTRICO;25;26;30;51;20;41;193
C162 - TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO;19;31;29;29;32;33;173
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;17;33;27;31;16;31;155
C164 - TUMOR MALIGNO DEL PILORO;3;3;1;2;3;2;14
C165 - TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;7;17;8;19;16;22;89
C166 - TUMOR MALIGNO DE LA CURVATURA MAYOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;3;14;4;5;6;5;37
C168 - LESION DE SITIOS CONTIGUOS DEL ESTOMAGO;26;12;16;8;19;8;89
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;41;61;57;79;48;74;360
C170 - TUMOR MALIGNO DEL DUODENO;4;5;7;6;5;5;32
C171 - TUMOR MALIGNO DEL YEYUNO;;1;;;1;;2
C172 - TUMOR MALIGNO DEL ILEON;1;2;6;6;9;16;40
C173 - TUMOR MALIGNO DEL DIVERTICULO DE MECKEL;;2;1;;;;3
C178 - TUMOR MALIGNO DEL LESION DE SITIOS CONTIGUOS DEL INTESTINO DELGADO;2;1;;;;;3
C179 - TUMOR MALIGNO DEL INTESTINO DELGADO, PARTE NO ESPECIFICADA;5;3;8;1;5;;22
C180 - TUMOR MALIGNO DEL CIEGO;14;13;21;6;17;9;80
C181 - TUMOR MALIGNO DEL APENDICE;4;3;4;3;1;3;18
C182 - TUMOR MALIGNO DEL COLON ASCENDENTE;48;25;60;30;62;50;275
C183 - TUMOR MALIGNO DEL ANGULO HEPATICO;2;6;1;5;1;5;20
C184 - TUMOR MALIGNO DEL COLON TRANSVERSO;4;5;9;6;12;8;44
C185 - TUMOR MALIGNO DEL ANGULO ESPLENICO;1;2;1;4;;4;12
C186 - TUMOR MALIGNO DEL COLON DESCENDENTE;22;13;12;17;32;13;109
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;40;35;87;77;88;66;393
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;14;11;16;11;11;14;77
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;40;45;50;40;44;43;262
C19X - TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;7;15;6;15;8;16;67
C20X - TUMOR MALIGNO DEL RECTO;74;53;80;62;69;70;408
C210 - TUMOR MALIGNO DEL ANO, PARTE NO ESPECIFICADA;11;5;11;4;11;6;48
C211 - TUMOR MALIGNO DEL CONDUCTO ANAL;9;5;8;6;11;7;46
C212 - TUMOR MALIGNO DE LA ZONA CLOACOGENICA;;1;;;;;1
C229 - TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO;7;11;18;13;8;17;74
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;11;3;5;4;9;4;36
C240 - TUMOR MALIGNO D E LAS VIAS BILIARES EXTRAHEPATICAS;3;4;4;4;6;6;27
C241 - TUMOR MALIGNO DE LA AMPOLLA DE VATER;6;2;4;5;4;6;27
C248 - LESION DE SITIOS CONTIGUOS DE LAS VIAS BILIARES;6;5;2;3;3;;19
C249 - TUMOR MALIGNO DE LAS VIAS BILIARES, PARTE NO ESPECIFICADA;2;6;9;2;3;3;25
C250 - TUMOR MALIGNO DE LA CABEZA DEL PANCREAS;23;8;19;20;27;17;114
C251 - TUMOR MALIGNO DEL CUERPO DEL PANCREAS;4;2;6;5;7;3;27
C252 - TUMOR MALIGNO DE LA COLA DEL PANCREAS;4;1;6;2;6;2;21
C253 - TUMOR MALIGNO DEL CONDUCTO PANCREATICO;;;2;;;1;3
C254 - TUMOR MALIGNO DEL PANCREAS ENDOCRINO;;2;;1;3;2;8
C257 - TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PANCREAS;7;1;6;5;6;3;28
C258 - LESION DE SITIOS CONTIGUOS DEL PANCREAS;14;8;6;4;11;5;48
C259 - TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA;9;5;12;12;10;9;57
C260 - TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA;1;1;3;3;2;1;11
C261 - TUMOR MALIGNO DEL BAZO;;1;;1;;1;3
C268 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS DIGESTIVOS;;;;1;1;1;3
C269 - TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DE LOS ORGANOS DIGESTIVOS;2;1;2;;;1;6
C300 - TUMOR MALIGNO DE LA FOSA NASAL;1;1;4;3;1;5;15
C301 - TUMOR MALIGNO DEL OIDO MEDIO;1;;;1;;;2
C310 - TUMOR MALIGNO DEL SENO MAXILAR;2;1;1;6;3;7;20
