Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año
17 - Caldas;21.078;16.774;1;15;2018
17001 - Manizales;13.160;10.149;1;8;2018
F000 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0†);9;11;;;2018
F001 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO (G30.1†);63;21;;;2018
F002 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO (G30.8†);43;25;;;2018
F009 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9†);193;81;;;2018
F010 - DEMENCIA VASCULAR DE COMIENZO AGUDO;2;;;;2018
F011 - DEMENCIA VASCULAR POR INFARTOS MULTIPLES;3;;;;2018
F012 - DEMENCIA VASCULAR SUBCORTICAL;1;2;;;2018
F013 - DEMENCIA VASCULAR MIXTA, CORTICAL Y SUBCORTICAL;27;21;;;2018
F018 - OTRAS DEMENCIAS VASCULARES;8;8;;;2018
F019 - DEMENCIA VASCULAR, NO ESPECIFICADA;23;12;;;2018
F020 - DEMENCIA EN LA ENFERMEDAD DE PICK (G31.0†);1;1;;;2018
F021 - DEMENCIA EN LA ENFERMEDAD DE CREUTZFELDT-JAKOB (A81.0†);1;;;;2018
F022 - DEMENCIA EN LA ENFERMEDAD DE HUNTINGTON (G10†);;;;;2018
F023 - DEMENCIA EN LA ENFERMEDAD DE PARKINSON (G20†);13;12;;;2018
F024 - DEMENCIA EN LA ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH] (B22.0†);1;1;;;2018
F028 - DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE;9;6;;;2018
F03X - DEMENCIA , NO ESPECIFICADA;270;163;;;2018
F04X - SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ACOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS;;3;;;2018
F050 - DELIRIO NO SUPERPUESTO A UN CUADRO DE DEMENCIA, ASI DESCRITO;7;4;;;2018
