Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año;Ubicación
F000 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0†);9;11;;;2018;17001 - Manizales
F001 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO (G30.1†);63;21;;;2018;17001 - Manizales
F002 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO (G30.8†);43;25;;;2018;17001 - Manizales
F009 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9†);193;81;;;2018;17001 - Manizales
F010 - DEMENCIA VASCULAR DE COMIENZO AGUDO;2;;;;2018;17001 - Manizales
F011 - DEMENCIA VASCULAR POR INFARTOS MULTIPLES;3;;;;2018;17001 - Manizales
F012 - DEMENCIA VASCULAR SUBCORTICAL;1;2;;;2018;17001 - Manizales
F013 - DEMENCIA VASCULAR MIXTA, CORTICAL Y SUBCORTICAL;27;21;;;2018;17001 - Manizales
F018 - OTRAS DEMENCIAS VASCULARES;8;8;;;2018;17001 - Manizales
F019 - DEMENCIA VASCULAR, NO ESPECIFICADA;23;12;;;2018;17001 - Manizales
F020 - DEMENCIA EN LA ENFERMEDAD DE PICK (G31.0†);1;1;;;2018;17001 - Manizales
F021 - DEMENCIA EN LA ENFERMEDAD DE CREUTZFELDT-JAKOB (A81.0†);1;;;;2018;17001 - Manizales
F022 - DEMENCIA EN LA ENFERMEDAD DE HUNTINGTON (G10†);;;;;2018;17001 - Manizales
F023 - DEMENCIA EN LA ENFERMEDAD DE PARKINSON (G20†);13;12;;;2018;17001 - Manizales
F024 - DEMENCIA EN LA ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH] (B22.0†);1;1;;;2018;17001 - Manizales
F028 - DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE;9;6;;;2018;17001 - Manizales
F03X - DEMENCIA , NO ESPECIFICADA;270;163;;;2018;17001 - Manizales
F04X - SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ACOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS;;3;;;2018;17001 - Manizales
F050 - DELIRIO NO SUPERPUESTO A UN CUADRO DE DEMENCIA, ASI DESCRITO;7;4;;;2018;17001 - Manizales
F051 - DELIRIO SUPERPUESTO A UN CUADRO DE DEMENCIA;9;8;;;2018;17001 - Manizales
F058 - OTROS DELIRIOS;10;5;;;2018;17001 - Manizales
F059 - DELIRIO, NO ESPECIFICADO;47;35;;;2018;17001 - Manizales
F060 - ALUCINOSIS ORGANICA;1;1;;;2018;17001 - Manizales
F061 - TRASTORNO CATATONICO, ORGANICO;;;;;2018;17001 - Manizales
F062 - TRASTORNO DELIRANTE [ESQUIZOFRENIFORME], ORGANICO;2;;;;2018;17001 - Manizales
F063 - TRASTORNOS DEL HUMOR [AFECTIVOS], ORGANICOS;7;9;;;2018;17001 - Manizales
F064 - TRASTORNO DE ANSIEDAD, ORGANICO;29;15;;;2018;17001 - Manizales
F065 - TRASTORNO DISOCIATIVO, ORGANICO;;;;;2018;17001 - Manizales
F066 - TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO;17;5;;;2018;17001 - Manizales
F067 - TRASTORNO COGNOSCITIVO LEVE;247;151;;;2018;17001 - Manizales
F068 - OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;30;36;;;2018;17001 - Manizales
F069 - TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;30;82;;;2018;17001 - Manizales
F070 - TRASTORNO DE LA PERSONALIDAD, ORGANICO;;;;;2018;17001 - Manizales
F071 - SINDROME POSTENCEFALITICO;;;;;2018;17001 - Manizales
F072 - SINDROME POSTCONCUSIONAL;3;13;;;2018;17001 - Manizales
F078 - OTROS TRASTORNOS ORGANICOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, LESION Y DISFUNCION CEREBRALES;1;6;;;2018;17001 - Manizales
F079 - TRASTORNO ORGANICO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO, NO ESPECIFICADO, DEBIDO A ENFERMEDAD, LESION Y DISFUNCION CEREBRAL;;4;;;2018;17001 - Manizales
F09X - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO;17;29;;;2018;17001 - Manizales
F100 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA;8;18;;;2018;17001 - Manizales
F101 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO;6;24;;;2018;17001 - Manizales
F102 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME DE DEPENDENCIA;6;31;;;2018;17001 - Manizales
F103 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA;1;7;;;2018;17001 - Manizales
F104 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA CON DELIRIO;2;1;;;2018;17001 - Manizales
F105 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO PSICOTICO;;1;;;2018;17001 - Manizales
F106 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME AMNESICO;;;;;2018;17001 - Manizales
F107 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;1;;;2018;17001 - Manizales
F108 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;2;15;;;2018;17001 - Manizales
F109 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;2;8;;;2018;17001 - Manizales
F110 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: INTOXICACION AGUDA;4;1;;;2018;17001 - Manizales
F111 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: USO NOCIVO;1;1;;;2018;17001 - Manizales
F112 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: SINDROME DE DEPENDENCIA;3;6;;;2018;17001 - Manizales
F113 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: ESTADO DE ABSTINENCIA;1;5;;;2018;17001 - Manizales
F114 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17001 - Manizales
F115 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO PSICOTICO;;;;;2018;17001 - Manizales
F117 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;1;;;2018;17001 - Manizales
F118 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;1;;;;2018;17001 - Manizales
F119 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;5;;;2018;17001 - Manizales
F120 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: INTOXICACION AGUDA;3;7;;;2018;17001 - Manizales
F121 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: USO NOCIVO;10;61;;;2018;17001 - Manizales
F122 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME DE DEPENDENCIA;17;93;;;2018;17001 - Manizales
F123 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA;2;11;;;2018;17001 - Manizales
F124 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA CON DELIRIO;;1;;;2018;17001 - Manizales
F125 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO;1;4;;;2018;17001 - Manizales
F126 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME AMNESICO;;;;;2018;17001 - Manizales
F127 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;1;;;2018;17001 - Manizales
F128 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;7;33;;;2018;17001 - Manizales
F129 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;7;20;;;2018;17001 - Manizales
F130 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: INTOXICACION AGUDA;9;7;;;2018;17001 - Manizales
F131 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: USO NOCIVO;2;;;;2018;17001 - Manizales
F132 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: SINDROME DE DEPENDENCIA;4;3;;;2018;17001 - Manizales
F133 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: ESTADO DE ABSTINENCIA;;1;;;2018;17001 - Manizales
F134 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17001 - Manizales
F135 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: TRASTORNO PSICOTICO;;;;;2018;17001 - Manizales
F136 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: SINDROME AMNESICO;;;;;2018;17001 - Manizales
